5.1939,5.5696,5.1834,3.7927,4.2997,5.716,5.9848,2.5481,18,3.2798,6.8724,3.6381,6.9947,4.0562,8.6703,2.8434,4.994,4.4272,10.634,3.3342
5.9656,5.0027,4.9205,4.366,13.488,9.6682,4.3765,14.287,8.2965,7.2689,6.363,17.698,5.4916,7.7833,6.8946,6.5496,9.1008,5.3961,4.6617,8.0099
3.0639,4.2281,4.281,4.6369,3.7162,6.1455,3.9389,4.3029,3.3134,4.5109,4.0087,4.6609,5.8203,6.0464,6.6328,6.2284,6.9999,5.5566,4.5816,7.2997
4.622,14.349,9.9285,4.0304,6.6874,4.1571,4.3127,4.5352,4.1198,5.4334,2.6094,5.2891,5.8252,11.681,3.8982,3.69,4.2121,3.9257,4.3707,2.3277
7.9742,0,13.278,9.2007,2.5839,10.968,3.6688,5.6931,3.1799,0,4.073,5.4564,12.931,0,10.169,0,9.6281,0,2.8549,3.6243
3.9703,2.0609,4.5713,2.9968,4.7245,4.472,4.427,7.5349,4.013,2.2171,2.6691,4.6292,5.4701,6.6852,2.9604,7.5287,3.7538,3.3614,3.149,2.3546
8.6647,5.9027,6.3875,3.9691,8.1596,8.8166,22.432,2.9045,5.1636,13.136,6.555,13.348,3.6651,4.9002,13.706,5.9386,8.2654,7.0547,8.9216,12.839
1.7825,2.7427,4.1613,9.0047,3.3195,4.3535,3.6447,18.179,2.5459,3.0541,20.638,4.653,11.51,14.762,7.1862,3.442,3.3074,5.6334,2.8185,3.1122
5.0262,2.6778,4.8465,10.025,3.1614,8.8993,6.1076,5.1728,7.7584,2.9578,5.296,10.274,3.5802,3.3003,2.8301,4.8886,3.565,4.3328,6.1643,3.5578
4.637,4.0289,8.3288,8.2366,10.121,8.6149,3.5436,6.4794,8.5864,3.5296,6.1674,6.5756,7.361,4.375,7.5787,6.2461,6.0953,5.4588,7.4164,8.617
6.0192,9.9717,11.254,20.279,17.629,9.2724,10.27,7.3276,6.1146,8.3541,12.456,7.9907,9.0829,10.45,8.8671,36.165,10.364,11.4,9.6094,7.8552
8.9864,4.4776,7.087,3.274,2.6023,3.8164,6.799,3.2057,3.3978,5.1618,3.4731,8.2343,3.4647,3.0344,4.9357,5.92,6.7452,3.2005,5.1289,3.3597
5.5205,3.1058,4.4299,2.9784,7.3607,3.1472,3.2825,3.8687,3.9603,4.892,3.5347,3.4959,2.6612,4.2202,2.9288,6.1615,3.505,3.011,4.3654,3.8692
19.376,8.5792,9.6817,6.4234,10.904,8.3643,27.033,16.271,8.8886,4.9336,5.881,10.848,8.7103,8.561,30.038,7.3028,7.6778,11.816,11.517,7.7158
3.9623,6.4294,10.916,9.7576,6.9673,5.0552,6.1303,15.556,6.3667,6.384,10.799,5.1116,4.7206,9.5877,6.527,11.001,6.2683,8.8794,10.813,14.375
5.4229,10.861,3.4952,8.5817,4.17,7.9499,6.9669,5.0223,4.1672,10.932,7.6146,5.067,5.7348,5.6562,5.4063,6.1851,5.5689,5.4158,12.54,11.861
10.919,5.7672,5.5924,16.637,7.0995,18.416,6.9469,9.3798,6.0303,5.6465,5.7487,14.971,6.6502,7.4951,14.616,8.2436,8.7539,8.9109,8.7756,9.2552
